Image,Features
07625_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
00777_00_rendered.png,[0.        0.        0.        ... 0.        1.0576453 0.       ]
06808_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
11616_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
14494_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
05615_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
00497_00_rendered.png,[0.         0.         0.         ... 0.         0.60072494 0.        ]
13992_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
09100_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
04838_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
02747_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
13626_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
06655_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
04585_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
10666_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
01707_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
10586_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
04665_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
08170_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
03737_00_rendered.png,[0.         0.         0.         ... 0.         0.25960708 0.        ]
03883_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
11484_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
14606_00_rendered.png,[0.         0.         0.         ... 0.         0.09061277 0.        ]
12979_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
03818_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
05767_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
13754_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
02635_00_rendered.png,[0.         0.         0.         ... 0.16773307 1.2378309  0.        ]
09072_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
02981_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
10949_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
07757_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
01828_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
09392_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
05487_00_rendered.png,[0.         0.         0.         ... 0.         0.70396423 0.        ]
11764_00_rendered.png,[0.         0.         0.         ... 0.89449203 0.05028272 0.        ]
00605_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
13680_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
07563_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
02855_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
13934_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
00431_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
05907_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
03678_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
12719_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
11550_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
05553_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
11904_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
03598_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
07683_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
01648_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
07937_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
10729_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
13560_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
07618_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
04451_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
10806_00_rendered.png,[0.        0.        0.        ... 0.        2.2994678 0.       ]
06781_00_rendered.png,[0.        0.        0.        ... 0.        0.6579857 0.       ]
08344_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
03503_00_rendered.png,[0.         0.         0.         ... 0.         0.97052956 0.        ]
12462_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
03957_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
05628_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
06461_00_rendered.png,[0.         0.         0.         ... 0.41763675 2.2299054  0.        ]
12836_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
04805_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
01533_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
10452_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
09684_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
09930_00_rendered.png,[0.         0.         0.         ... 0.         0.15472412 0.        ]
04008_00_rendered.png,[0.         0.         0.         ... 0.28730512 0.0743221  0.        ]
11272_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
00313_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
14310_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
05271_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
06038_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
11192_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
13242_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
02323_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
09564_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
04373_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
12340_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
11109_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
00068_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
03221_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
00388_00_rendered.png,[0.         0.         0.         ... 0.         0.47878933 0.        ]
08786_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
06343_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
08832_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
10370_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
13139_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
02058_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
01211_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
04093_00_rendered.png,[0.        0.        0.        ... 0.        0.8958242 0.       ]
06177_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
12294_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
01025_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
10144_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
04147_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
08652_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
03015_00_rendered.png,[0.         0.         0.         ... 0.19177961 0.23013198 0.        ]
12174_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
06297_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
05045_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
14124_00_rendered.png,[0.         0.         0.         ... 0.         0.71050835 0.        ]
02117_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
09750_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
13076_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
07075_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
13396_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
08529_00_rendered.png,[0.         0.         0.         ... 0.         0.02778816 0.        ]
11046_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
04035_00_rendered.png,[0.         0.         0.         ... 0.         0.08151913 0.        ]
03167_00_rendered.png,[0.        0.        0.        ... 0.        1.5839543 0.       ]
08720_00_rendered.png,[0.         0.         0.         ... 0.96001494 0.8752775  0.        ]
03287_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
06005_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
10036_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
09559_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
01157_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
07107_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
11134_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
05137_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
13104_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
09622_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
02065_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
00181_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
05303_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
14262_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
09416_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
01018_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
02251_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
13330_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
10179_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
07333_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
10299_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
14182_00_rendered.png,[0.         0.         0.         ... 0.13426805 0.         0.        ]
03028_00_rendered.png,[0.         0.         0.         ... 0.         0.00575292 0.        ]
11300_00_rendered.png,[0.         0.         0.         ... 0.         0.41167688 0.        ]
12149_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
06231_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
08940_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
14119_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
01363_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
10202_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
01083_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
04201_00_rendered.png,[0.        0.        0.        ... 0.        0.6783378 0.       ]
07048_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
03353_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
08514_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
12232_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
05398_00_rendered.png,[0.         0.         0.         ... 0.         0.87403345 0.        ]
00730_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
12418_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
11651_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
07662_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
13581_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
02700_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
09147_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
01549_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
13661_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
07582_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
03699_00_rendered.png,[0.        0.        0.        ... 0.        0.6680689 0.       ]
05652_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
08045_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
03602_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
12763_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
06480_00_rendered.png,[0.        0.        0.        ... 0.        0.6268189 0.       ]
07519_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
04750_00_rendered.png,[0.        0.        0.        ... 0.        0.4445727 0.       ]
01632_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
10753_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
05529_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
14448_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
12483_00_rendered.png,[0.        0.        0.        ... 0.        0.7690525 0.       ]
04930_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
09008_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
01406_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
08191_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
06554_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
12557_00_rendered.png,[0.        0.        0.        ... 0.        0.5363414 0.       ]
03436_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
10933_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
01852_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
13455_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
11831_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
14507_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
05466_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
00950_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
11785_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
11465_00_rendered.png,[0.         0.         0.         ... 0.         0.38416243 0.        ]
05832_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
12998_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
02960_00_rendered.png,[0.         0.         0.         ... 0.         0.19441867 0.        ]
03544_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
06872_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
12425_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
01694_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
04416_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
10841_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
02889_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
01574_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
04842_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
10415_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
06426_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
03910_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
12871_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
08078_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
00476_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
11517_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
02812_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
07524_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
07970_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
09201_00_rendered.png,[0.         0.         0.         ... 0.         0.94817877 0.        ]
02446_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
13527_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
00796_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
08398_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
00822_00_rendered.png,[0.         0.         0.         ... 0.35642636 0.34620428 0.        ]
05514_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
14475_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
13713_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
09035_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
14641_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
06569_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
05720_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
05894_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
00642_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
06689_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
11897_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
02592_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
07710_00_rendered.png,[0.         0.         0.         ... 0.         0.26368213 0.        ]
10621_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
02509_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
10995_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
03490_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
06612_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
11458_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
12611_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
03770_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
08137_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
00539_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
04622_00_rendered.png,[0.         0.         0.         ... 0.         0.82898927 0.        ]
04996_00_rendered.png,[0.         0.         0.         ... 0.64285576 0.         0.        ]
13788_00_rendered.png,[0.         0.         0.         ... 0.12455714 0.         0.        ]
06982_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
06636_00_rendered.png,[0.        0.        0.        ... 0.9473094 3.4056652 0.       ]
00949_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
11828_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
10605_00_rendered.png,[0.         0.         0.         ... 0.12351644 1.6519859  0.        ]
02979_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
04606_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
13818_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
01484_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
12981_00_rendered.png,[0.        0.        0.        ... 1.0563899 0.5884845 0.       ]
08113_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
03754_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
05704_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
14665_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
08188_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
00586_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
13883_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
04929_00_rendered.png,[0.         0.         0.         ... 0.         0.77506566 0.        ]
02656_00_rendered.png,[0.        0.        0.        ... 0.        0.3990178 0.       ]
09011_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
13737_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
07880_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
07734_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
00666_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
14585_00_rendered.png,[0.         0.         0.         ... 0.57718027 0.71668506 0.        ]
13957_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
07500_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
04749_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
02782_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
06499_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
11533_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
00452_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
05964_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
05530_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
06779_00_rendered.png,[0.         0.         0.         ... 0.         0.07641149 0.        ]
00806_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
13503_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
02462_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
07954_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
13598_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
01904_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
12401_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
11648_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
08327_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
06856_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
03560_00_rendered.png,[0.         0.         0.         ... 0.92906463 1.9272528  0.        ]
12855_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
03934_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
06402_00_rendered.png,[0.        0.        0.        ... 0.        0.6476097 0.       ]
03680_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
10431_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
13678_00_rendered.png,[0. 0. 0. ... 0. 0. 0.]
